arm,checkpoint_sha256,training_seed,evaluation_seed,users,steps,duration_s,useful_bits,system_energy_j,system_ee_bits_per_j,mean_system_power_w,mean_system_throughput_bps,served_user_intervals,total_user_intervals,served_fraction,zero_power_intervals,zero_service_intervals,r1_sum,r2_sum,r3_sum
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082908,60,10,300.8,6542772055532.181,74228.6871251163,88143443.0398048,246.7709013467962,21751236886.742622,600,600,1.0,0,0,858887423.2482991,-148.0,-1194.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082904,80,10,300.8,8064866465336.67,89093.49729812331,90521381.58130819,296.1884883581227,26811391174.656483,800,800,1.0,0,0,890953463.5402235,-190.5,-1950.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082905,80,10,300.8,7755222538721.566,84660.17686222497,91604138.16926381,281.45005605792875,25781989822.87755,799,800,0.99875,0,0,881991338.1772164,-194.5,-1923.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082906,80,10,300.8,10021305583844.78,93747.14747071364,106897178.78589755,311.659399836149,33315510584.590355,798,800,0.9975,0,0,1055240979.1617379,-224.0,-1698.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082907,80,10,300.8,7662760661302.936,84640.24526288151,90533299.34835851,281.3837940920263,25474603262.31029,800,800,1.0,0,0,892030865.0718389,-217.0,-2024.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082908,80,10,300.8,7188909950554.144,85950.48876980104,83640128.79331046,285.7396568144981,23899301697.320953,800,800,1.0,0,0,806580964.4639975,-195.0,-1914.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082904,100,10,300.8,8338900155822.783,94795.23264526488,87967505.57095996,315.1437255494178,27722407432.921486,1000,1000,1.0,0,0,866956106.0463568,-253.0,-3118.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082905,100,10,300.8,8574204461761.297,93744.74874899726,91463304.09097193,311.6514253623579,28504669088.30218,999,1000,0.999,0,0,873460217.6995163,-280.5,-2801.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082906,100,10,300.8,11622080474550.84,109091.39241627872,106535265.68074661,362.67085244773506,38637235620.18231,998,1000,0.998,0,0,1050093730.7861359,-279.5,-2360.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082907,100,10,300.8,8798816731670.373,100470.71209294477,87575936.79171546,334.0116758409068,29251385411.138206,1000,1000,1.0,0,0,859068517.3450791,-275.5,-2768.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082908,100,10,300.8,7561165488425.538,92009.00241460426,82178540.03409325,305.880992069828,25136853352.478516,1000,1000,1.0,0,0,789453371.1542943,-252.5,-2910.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082904,120,10,300.8,9276094079698.111,105423.8982853439,87988532.30214576,350.4783852571273,30838078722.400635,1200,1200,1.0,0,0,858405951.5068855,-306.5,-3898.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082905,120,10,300.8,9057493372047.904,100166.06077998693,90424773.63607755,332.9988722738927,30111347646.435852,1199,1200,0.9991666666666666,0,0,866557645.1314563,-303.5,-4013.0
